index,Airline,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes),Month,Month_num,Passengers_In,Passengers_Out,Port_Country,Year,_id
16732,AirAsia X,84.91,12.835,0.0,0.0,44044,8,0,0,Malaysia,2020,42576
16836,Emirates,0.0,0.251,0.0,0.0,44105,10,0,0,Indonesia,2020,42739
16894,China Southern Airlines,1067.965,910.149,128.689,0.0,44075,9,300,3981,China,2020,42660
16906,Scoot Tigerair,441.57099999999997,527.317,0.0,0.0,44044,8,322,397,Singapore,2020,42631
16937,Scoot Tigerair,563.77,386.209,0.0,0.0,44105,10,478,539,Singapore,2020,42785
17029,Federal Express Corporation,545.952,103.918,0.0,0.0,44105,10,0,0,Singapore,2020,42750
17127,Garuda Indonesia,104.374,92.756,20.2,0.0,44044,8,188,967,Indonesia,2020,42601
17179,United Parcel Service,1588.3470000000002,0,0.0,0.0,44075,9,0,0,USA,2020,42715
17234,Federal Express Corporation,461.486,98.288,0.0,0.0,44075,9,0,0,Singapore,2020,42672
17448,Emirates,34.222,74.258,0.0,0.0,44044,8,0,0,New Zealand,2020,42588
17454,Qantas Airways,1703.5539999999999,4.5,10.681,0.0,44105,10,0,0,USA,2020,42781
17647,Xiamen Airlines,148.8,120,10.9,0.0,44075,9,250,1745,China,2020,42717
17707,Qatar Airways,0.0,0,0.0,0.0,44136,11,0,0,Vietnam,2020,42864
17729,Hainan Airlines,92.071,0,0.0,0.0,44105,10,0,0,China,2020,42754
17757,Thai Airways International,69.11,88.647,5.1160000000000005,0.0,44105,10,141,456,Thailand,2020,42791
17788,Qantas Airways,141.3,248.843,0.0,0.0,44075,9,0,0,Singapore,2020,42698
18013,Polar Air Cargo,909.817,588.784,0.0,4.87,44075,9,0,0,Japan,2020,42690
18040,Kalitta Air,1502.924,0,0.0,0.0,44136,11,0,0,USA,2020,42838
18138,Polar Air Cargo,0.0,126.483,0.0,0.0,44105,10,0,0,New Zealand,2020,42772
18171,China Southern Airlines,1328.114,798.861,104.40799999999999,0.0,44136,11,345,4265,China,2020,42815
18297,Nauru Airlines,3.841,98.631,0.053,0.47600000000000003,44013,7,24,24,Nauru,2020,42537
18301,American Airlines,560.986,470.65,0.0,0.0,44075,9,0,0,USA,2020,42654
18623,Beijing Capital Airlines,65.69800000000001,77.898,0.0,0.0,44044,8,0,0,China,2020,42580
18828,Cebu Pacific Air,25.8,62.118,0.0,0.0,44136,11,0,0,Philippines,2020,42812
18886,Solomon Airlines,4.3839999999999995,24.706,0.0,0.0,44136,11,72,22,Solomon Islands,2020,42870
18954,Qantas Airways,1550.3429999999998,4.5,6.331,0.0,44013,7,0,0,USA,2020,42550
18999,Royal Brunei Airlines,95.428,130.781,0.11800000000000001,0.0,44136,11,0,18,Brunei,2020,42865
19561,Federal Express Corporation,0.0,3401.272,0.0,0.0,44136,11,0,0,China,2020,42826
19689,Fiji Airways,287.149,123.419,0.19699999999999998,11.14,44075,9,0,0,Fiji,2020,42674
19835,Qantas Airways,134.398,73.315,3.722,0.0,44013,7,0,0,Singapore,2020,42548
19871,SriLankan Airlines,65.929,50.357,1.6019999999999999,0.0,44044,8,0,1984,Sri Lanka,2020,42635
19940,Polar Air Cargo,0.0,225.404,0.0,0.0,44075,9,0,0,Korea,2020,42691
19956,Air India,63.266000000000005,55.73,14.123,0.159,44105,10,313,1023,India,2020,42722
20030,Air New Zealand,51.62,86.529,0.0,0.0,44075,9,0,0,USA,2020,42650
20084,Federal Express Corporation,0.0,3148.576,0.0,0.0,44075,9,0,0,China,2020,42671
20225,Federal Express Corporation,0.0,3463.079,0.0,0.0,44105,10,0,0,China,2020,42747
20489,United Airlines,985.6,1334.345,97.079,155.475,44136,11,1546,1799,USA,2020,42875
20709,Emirates,37.397,39.371,0.0,0.0,44075,9,0,0,New Zealand,2020,42664
20832,Malaysia Airlines,1695.2920000000001,1114.197,10.444,0.0,44105,10,696,1585,Malaysia,2020,42764
20894,Japan Airlines,266.881,636.879,102.06700000000001,8.294,44136,11,509,326,Japan,2020,42834
20944,Kalitta Air,1761.309,0,0.0,0.0,44013,7,0,0,USA,2020,42533
21278,United Parcel Service,0.0,104.67,0.0,0.0,44013,7,0,0,Singapore,2020,42563
21424,Federal Express Corporation,0.0,2934.114,0.0,0.0,44044,8,0,0,China,2020,42595
21490,Air China,1144.7160000000001,1124.368,40.757,23.61,44075,9,0,0,China,2020,42647
21611,Vietnam Airlines,375.866,477.956,0.0,0.556,44075,9,129,694,Vietnam,2020,42716
21615,Jetstar,0.0,1.349,0.0,0.0,44136,11,577,189,New Zealand,2020,42835
21636,Kalitta Air,0.0,1016.209,0.0,0.0,44105,10,0,0,Singapore,2020,42759
21778,Polar Air Cargo,815.0110000000001,0,0.0,0.0,44075,9,0,0,Guam,2020,42689
21881,Federal Express Corporation,533.6759999999999,196.335,0.0,0.0,44136,11,0,0,Singapore,2020,42828
21898,China Eastern Airlines,504.496,607.058,20.14,0.0,44136,11,319,1862,China,2020,42814
21955,Federal Express Corporation,1221.649,261.123,0.0,0.0,44013,7,0,0,Singapore,2020,42526
22152,Malaysia Airlines,1638.029,682.208,6.792999999999999,0.0,44044,8,336,1812,Malaysia,2020,42611
22187,Polar Air Cargo,0.0,79.82,0.0,0.0,44075,9,0,0,New Zealand,2020,42692
22214,Nauru Airlines,12.600999999999999,68.527,0.0,0.0,44105,10,60,86,Nauru,2020,42766
22226,All Nippon Airways,419.19699999999995,468.511,3.167,0.0,44136,11,696,647,Japan,2020,42807
22472,Kalitta Air,0.0,141.173,0.0,0.0,44075,9,0,0,Hong Kong (SAR),2020,42679
22529,Nauru Airlines,7.053999999999999,82.155,0.0,0.0,44075,9,27,48,Nauru,2020,42686
22780,Kalitta Air,1580.846,0,0.0,0.0,44075,9,0,0,USA,2020,42681
22791,Air Caledonie International,4.666,100.591,0.263,3.35,44013,7,56,74,New Caledonia,2020,42503
22803,Silk Air,0.309,0.991,0.0,0.0,44136,11,63,4,Singapore,2020,42867
22870,Kalitta Air,0.0,185.116,0.0,0.0,44013,7,0,0,Hong Kong (SAR),2020,42531
22954,Federal Express Corporation,35.736999999999995,0,0.0,0.0,44044,8,0,0,New Zealand,2020,42597
23040,Air Caledonie International,3.2710000000000004,107.929,0.479,3.299,44105,10,46,106,New Caledonia,2020,42718
23187,Air Canada,0.0,250.142,0.0,44.763000000000005,44105,10,0,0,New Zealand,2020,42720
23221,Philippine Airlines,5.018,40.032,0.0,0.0,44075,9,74,292,Philippines,2020,42688
23282,Singapore Airlines,256.095,706.488,0.0,0.0,44136,11,0,0,New Zealand,2020,42868
23916,Emirates,12.823,42.46,0.0,0.0,44105,10,0,0,New Zealand,2020,42740
23918,Emirates,0.0,443.096,0.0,0.0,44044,8,0,0,Hong Kong (SAR),2020,42587
23978,Polar Air Cargo,1007.265,0,0.0,0.0,44044,8,0,0,Guam,2020,42617
24414,Qantas Airways,100.20299999999999,177.545,0.0,0.001,44105,10,0,0,Japan,2020,42775
24528,Singapore Airlines,4800.763,3066.741,23.647,0.0,44044,8,1530,2968,Singapore,2020,42633
24739,LATAM Airlines,33.792,0,0.0,0.0,44013,7,0,0,Chile,2020,42535
24759,Etihad Airways,0.0,0,0.0,0.0,44075,9,0,0,New Zealand,2020,42668
24817,Air Vanuatu,0.7859999999999999,1.493,0.024,0.17800000000000002,44044,8,21,0,Vanuatu,2020,42575
24860,Emirates,38.975,247.353,0.0,0.0,44105,10,0,0,Thailand,2020,42743
25142,SriLankan Airlines,111.46799999999999,27.568,0.0,0.0,44136,11,141,1132,Sri Lanka,2020,42871
